,날짜,제목,평점
0,20210201,극장판 바이올렛 에버가든,9.50
1,20210201,가나의 혼인잔치: 언약,9.45
2,20210201,언플랜드,9.42
3,20210201,소울,9.40
4,20210201,부활: 그 증거,9.39
5,20210201,동주,9.37
6,20210201,늑대와 춤을,9.30
7,20210201,극장판 귀멸의 칼날: 무한열차편,9.29
8,20210201,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.26
9,20210201,피아니스트의 전설,9.25
10,20210201,어바웃 타임,9.18
11,20210201,러브레터,9.12
12,20210201,타오르는 여인의 초상,9.06
13,20210201,굿바이,9.04
14,20210201,남매의 여름밤,8.95
15,20210201,러브 액츄얼리,8.93
16,20210201,해리가 샐리를 만났을 때,8.88
17,20210201,족벌 두 신문 이야기,8.86
18,20210201,이별의 아침에 약속의 꽃을 장식하자,8.84
19,20210201,위플래쉬,8.80
20,20210201,너의 이름은.,8.79
21,20210201,리즈와 파랑새,8.78
22,20210201,화양연화,8.75
23,20210201,찬실이는 복도 많지,8.74
24,20210201,프란츠,8.65
25,20210201,라라랜드,8.61
26,20210201,캐롤,8.59
27,20210201,백엔의 사랑,8.51
28,20210201,기생충,8.49
29,20210201,목소리의 형태,8.47
30,20210201,너의 췌장을 먹고 싶어,8.36
31,20210201,초속5센티미터,8.36
32,20210201,세자매,8.35
33,20210201,삼진그룹 영어토익반,8.32
34,20210201,나의 사적인 여자친구,8.20
35,20210201,런,8.14
36,20210201,너의 췌장을 먹고 싶어,8.08
37,20210201,날씨의 아이,7.98
38,20210201,신과함께-인과 연,7.71
39,20210201,"안녕, 티라노: 영원히, 함께",7.59
40,20210201,루비 스팍스,7.51
41,20210201,해피 투게더,7.42
42,20210201,도굴,7.29
43,20210201,페임,7.03
44,20210201,조제,6.49
45,20210201,이웃사촌,6.00
46,20210201,원더 우먼 1984,5.18
47,20210202,극장판 바이올렛 에버가든,9.50
48,20210202,가나의 혼인잔치: 언약,9.45
49,20210202,언플랜드,9.42
50,20210202,부활: 그 증거,9.39
51,20210202,소울,9.38
52,20210202,동주,9.37
53,20210202,늑대와 춤을,9.30
54,20210202,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.26
55,20210202,극장판 귀멸의 칼날: 무한열차편,9.26
56,20210202,피아니스트의 전설,9.25
57,20210202,어바웃 타임,9.18
58,20210202,러브레터,9.12
59,20210202,타오르는 여인의 초상,9.06
60,20210202,굿바이,9.04
61,20210202,남매의 여름밤,8.95
62,20210202,러브 액츄얼리,8.93
63,20210202,해리가 샐리를 만났을 때,8.88
64,20210202,족벌 두 신문 이야기,8.86
65,20210202,이별의 아침에 약속의 꽃을 장식하자,8.84
66,20210202,위플래쉬,8.80
67,20210202,너의 이름은.,8.79
68,20210202,리즈와 파랑새,8.78
69,20210202,화양연화,8.75
70,20210202,찬실이는 복도 많지,8.74
71,20210202,프란츠,8.65
72,20210202,라라랜드,8.61
73,20210202,캐롤,8.59
74,20210202,백엔의 사랑,8.51
75,20210202,기생충,8.49
76,20210202,목소리의 형태,8.47
77,20210202,너의 췌장을 먹고 싶어,8.36
78,20210202,초속5센티미터,8.36
79,20210202,삼진그룹 영어토익반,8.32
80,20210202,세자매,8.28
81,20210202,나의 사적인 여자친구,8.20
82,20210202,런,8.14
83,20210202,너의 췌장을 먹고 싶어,8.08
84,20210202,날씨의 아이,7.98
85,20210202,신과함께-인과 연,7.71
86,20210202,"안녕, 티라노: 영원히, 함께",7.59
87,20210202,루비 스팍스,7.51
88,20210202,해피 투게더,7.42
89,20210202,도굴,7.29
90,20210202,이웃사촌,5.99
91,20210202,원더 우먼 1984,5.17
92,20210203,극장판 바이올렛 에버가든,9.50
93,20210203,언플랜드,9.40
94,20210203,부활: 그 증거,9.39
95,20210203,소울,9.37
96,20210203,늑대와 춤을,9.30
97,20210203,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.26
98,20210203,극장판 귀멸의 칼날: 무한열차편,9.25
99,20210203,어바웃 타임,9.18
100,20210203,러브레터,9.12
101,20210203,타오르는 여인의 초상,9.06
102,20210203,굿바이,9.04
103,20210203,남매의 여름밤,8.95
104,20210203,러브 액츄얼리,8.93
105,20210203,족벌 두 신문 이야기,8.85
106,20210203,이별의 아침에 약속의 꽃을 장식하자,8.84
107,20210203,너의 이름은.,8.79
108,20210203,리즈와 파랑새,8.78
109,20210203,화양연화,8.76
110,20210203,찬실이는 복도 많지,8.74
111,20210203,프란츠,8.65
